defect_id,tenant_id,vin,part_id,supplier_id,defect_code,defect_description,defect_category,severity,detected_at_stage,detected_ts,resolved_ts,created_at
DF001,fab_trucking,1FABX900A0001001,PRT-PAINT-001,,DEF-PAINT-001,Minor paint defect on cab door,COSMETIC,MINOR,IN_PLANT,2024-11-01 17:00:00,2024-11-02 07:30:00,2024-11-01
DF002,fab_trucking,1FABX900A0001002,PRT-WIPER-001,SUP-005,DEF-ELEC-001,Wiper motor intermittent,ELECTRICAL,MINOR,IN_PLANT,2024-11-02 13:00:00,2024-11-03 09:00:00,2024-11-02
DF003,fab_trucking,1FABX900A0001003,PRT-ECU-001,SUP-001,DEF-FUNC-001,ECU communication fault,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-03 15:00:00,,2024-11-03
DF004,fab_trucking,1FABX900A0001003,PRT-SENS-001,SUP-001,DEF-ELEC-002,Sensor calibration drift,ELECTRICAL,MAJOR,IN_PLANT,2024-11-03 15:30:00,,2024-11-03
DF005,fab_trucking,1FABM500A0001007,PRT-BRAKE-001,SUP-015,DEF-STRUC-001,Brake pad uneven wear pattern,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 17:00:00,2024-11-22 09:00:00,2024-11-05
DF006,fab_trucking,1FABM500A0001007,PRT-ROTOR-001,SUP-015,DEF-STRUC-002,Rotor surface imperfection,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 17:30:00,2024-11-22 09:00:00,2024-11-05
DF007,fab_trucking,1FABM500A0001007,PRT-BRAKE-001,SUP-015,DEF-STRUC-003,Brake line fitting loose,STRUCTURAL,MAJOR,IN_PLANT,2024-11-05 18:00:00,2024-11-22 09:00:00,2024-11-05
DF008,fab_trucking,1FABX900E0001010,PRT-BATT-002,,DEF-ELEC-003,Battery connector alignment,ELECTRICAL,MINOR,IN_PLANT,2024-11-06 19:00:00,2024-11-18 10:00:00,2024-11-06
DF009,fab_trucking,1FABX900E0001011,PRT-BATT-001,SUP-003,DEF-FUNC-002,Battery cooling system fault,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-08 17:00:00,,2024-11-08
DF010,fab_trucking,1FABX900E0001011,PRT-CTRL-001,SUP-020,DEF-FUNC-003,BMS communication error,FUNCTIONAL,CRITICAL,IN_PLANT,2024-11-08 17:30:00,,2024-11-08
DF011,fab_trucking,1FABM550A0001016,PRT-REFRIG-001,SUP-002,DEF-FUNC-004,Compressor startup delay,FUNCTIONAL,MINOR,IN_PLANT,2024-11-10 17:00:00,2024-11-20 10:00:00,2024-11-10
DF012,fab_trucking,1FABX900A0001019,PRT-HAZM-001,SUP-014,DEF-FUNC-005,Hazmat seal integrity concern,FUNCTIONAL,MAJOR,IN_PLANT,2024-11-12 19:00:00,,2024-11-12
DF013,fab_trucking,1FABX900A0001039,PRT-PAINT-001,SUP-016,DEF-PAINT-002,Custom paint color mismatch,COSMETIC,MINOR,IN_PLANT,2024-11-21 19:00:00,2024-11-29 15:00:00,2024-11-21
DF014,fab_trucking,1FABM500A0001046,PRT-HYDR-001,SUP-004,DEF-STRUC-004,Hydraulic cylinder scoring,STRUCTURAL,MAJOR,IN_PLANT,2024-11-24 18:00:00,,2024-11-24
DF015,fab_trucking,1FABX900A0001052,PRT-CERT-001,SUP-017,DEF-FUNC-006,Safety cert label placement,FUNCTIONAL,MINOR,IN_PLANT,2024-11-28 19:00:00,2024-11-30 10:00:00,2024-11-28
DF016,fab_trucking,1FABX700A0001014,,,DEF-ELEC-004,Telematics antenna loose,ELECTRICAL,MINOR,IN_PLANT,2024-11-08 15:00:00,2024-11-09 09:00:00,2024-11-08
DF017,fab_trucking,1FABM500A0001026,,,DEF-PAINT-003,Paint scratch during handling,COSMETIC,MINOR,IN_PLANT,2024-11-14 18:00:00,2024-11-15 08:00:00,2024-11-14
DF018,fab_trucking,1FABX700A0001034,,,DEF-STRUC-005,Sleeper cab latch alignment,STRUCTURAL,MINOR,IN_PLANT,2024-11-18 14:00:00,2024-11-19 10:00:00,2024-11-18
DF019,fab_trucking,1FABM500A0001007,PRT-BRAKE-001,SUP-015,DEF-STRUC-006,Brake caliper mounting,STRUCTURAL,MINOR,IN_PLANT,2024-11-18 09:00:00,2024-11-22 09:00:00,2024-11-18
DF020,fab_trucking,1FABX900E0001011,PRT-CHRG-001,SUP-003,DEF-ELEC-005,Charging port cover fit,ELECTRICAL,MINOR,IN_PLANT,2024-11-20 09:00:00,2024-11-25 08:00:00,2024-11-20
DF021,fab_trucking,1FABX900A0001019,PRT-VALVE-001,SUP-019,DEF-STRUC-007,Valve seat wear,STRUCTURAL,MINOR,IN_PLANT,2024-11-25 09:00:00,2024-11-28 10:00:00,2024-11-25
DF022,fab_trucking,1FABM550A0001016,PRT-INSUL-001,SUP-023,DEF-FUNC-007,Insulation gap detected,FUNCTIONAL,MINOR,IN_PLANT,2024-11-20 10:00:00,2024-11-28 09:00:00,2024-11-20
DF023,fab_trucking,1FABX900A0001003,PRT-HARNS-001,SUP-021,DEF-ELEC-006,Wiring harness routing,ELECTRICAL,MINOR,IN_PLANT,2024-11-15 10:00:00,2024-11-20 08:00:00,2024-11-15
DF024,fab_trucking,1FABX900E0001010,PRT-MOTOR-001,SUP-022,DEF-FUNC-008,Motor controller calibration,FUNCTIONAL,MINOR,IN_PLANT,2024-11-18 10:00:00,2024-11-22 08:00:00,2024-11-18
DF025,fab_trucking,1FABM500A0001046,PRT-PUMP-001,SUP-004,DEF-FUNC-009,Pump pressure fluctuation,FUNCTIONAL,MINOR,IN_PLANT,2024-11-29 09:00:00,,2024-11-29
DF026,fab_trucking,1FABX900A0001001,,,DEF-PAINT-004,Door edge chip during QA,COSMETIC,MINOR,DEALER_PDI,2024-11-12 10:00:00,2024-11-12 14:00:00,2024-11-12
DF027,fab_trucking,1FABX700A0001004,,,DEF-ELEC-007,Dash light intermittent,ELECTRICAL,MINOR,DEALER_PDI,2024-11-15 09:00:00,2024-11-15 12:00:00,2024-11-15
DF028,fab_trucking,1FABM400A0001008,,,DEF-STRUC-008,Mirror adjustment stiff,STRUCTURAL,MINOR,DEALER_PDI,2024-11-18 11:00:00,2024-11-18 13:00:00,2024-11-18
DF029,fab_trucking,1FABL300A0001009,,,DEF-PAINT-005,Pinstripe bubble,COSMETIC,MINOR,DEALER_PDI,2024-11-14 10:00:00,2024-11-14 11:00:00,2024-11-14
DF030,fab_trucking,1FABX800A0001012,,,DEF-FUNC-010,HVAC fan noise,FUNCTIONAL,MINOR,DEALER_PDI,2024-11-20 14:00:00,2024-11-20 16:00:00,2024-11-20
DF031,fab_trucking,1FABX700A0001023,,,DEF-ELEC-008,USB port inoperative,ELECTRICAL,MINOR,DEALER_PDI,2024-11-22 09:00:00,2024-11-22 10:00:00,2024-11-22
DF032,fab_trucking,1FABM400A0001020,,,DEF-STRUC-009,Cab step loose,STRUCTURAL,MINOR,DEALER_PDI,2024-11-18 15:00:00,2024-11-18 16:00:00,2024-11-18
DF033,fab_trucking,1FABX900A0001021,,,DEF-PAINT-006,Clear coat haze,COSMETIC,MINOR,WARRANTY,2024-12-01 10:00:00,,2024-12-01
DF034,fab_trucking,1FABX700A0001024,,,DEF-ELEC-009,Backup camera delay,ELECTRICAL,MINOR,WARRANTY,2024-12-01 14:00:00,,2024-12-01
DF035,fab_trucking,1FABM500A0001015,,,DEF-FUNC-011,AC compressor noise,FUNCTIONAL,MINOR,WARRANTY,2024-11-28 09:00:00,,2024-11-28
DF036,fab_trucking,1FABX900A0001013,,,DEF-PAINT-007,Government decal peel,COSMETIC,MINOR,WARRANTY,2024-11-30 11:00:00,,2024-11-30
DF037,fab_trucking,1FABM400A0001027,,,DEF-STRUC-010,Tailgate latch wear,STRUCTURAL,MINOR,WARRANTY,2024-12-01 13:00:00,,2024-12-01
DF038,fab_trucking,1FABL300A0001028,,,DEF-ELEC-010,Interior light flicker,ELECTRICAL,MINOR,WARRANTY,2024-11-29 10:00:00,,2024-11-29
DF039,fab_trucking,1FABX800A0001030,,,DEF-FUNC-012,Sleeper climate delay,FUNCTIONAL,MINOR,WARRANTY,2024-12-01 09:00:00,,2024-12-01
DF040,fab_trucking,1FABX900A0001031,,,DEF-PAINT-008,Undercoat spot miss,COSMETIC,MINOR,WARRANTY,2024-11-30 15:00:00,,2024-11-30
